sub,trial,size,shortest,startlab,endlab,startconf,endconf,success,tries,score,steps,roundstart,starttime,firsttime,time
8094,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,30893,31071,10270,12646
8094,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,46280,46449,4291,5941
8094,3,3,3,63,53,|21|3||,|23|1||,0,1,6,3,55881,56049,2747,8940
8094,4,3,3,63,54,|21|3||,|2|13||,0,1,6,3,68960,69129,25412,29587
8094,5,3,4,63,13,|21|3||,|12|3||,1,1,9,4,100087,100257,4531,10301
8094,6,3,4,63,44,|21|3||,|3|12||,0,1,9,4,112448,112619,7873,35289
8094,7,3,4,63,22,|21|3||,|13||2|,1,1,12,4,149471,149641,13851,17492
8094,8,3,4,63,46,|21|3||,||13|2|,0,1,12,4,168367,168537,8251,13951
8094,9,3,5,63,11,|21|3||,|123|||,1,1,15,5,184038,184209,13731,20348
8094,10,3,5,63,21,|21|3||,|132|||,0,1,15,5,206021,206192,6900,27899
8094,11,3,5,63,43,|21|3||,|32|1||,1,1,18,5,235389,235559,16891,30002
8094,12,3,5,63,45,|21|3||,|3|1|2|,0,1,18,5,267245,267414,4180,14779
8112,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,50203,50381,9662,20492
8112,2,3,2,63,55,|21|3||,|2|1|3|,0,1,0,2,74261,74431,10602,17898
8112,3,3,3,63,53,|21|3||,|23|1||,1,1,3,3,93837,94005,4277,7085
8112,4,3,3,63,54,|21|3||,|2|13||,0,1,3,3,102293,102463,6065,10081
8112,5,3,4,63,13,|21|3||,|12|3||,1,1,6,4,114764,114934,3972,10155
8112,6,3,4,63,44,|21|3||,|3|12||,0,1,6,4,125844,126014,3338,14035
8112,7,3,4,63,22,|21|3||,|13||2|,1,1,9,4,141036,141204,5445,8469
8112,8,3,4,63,46,|21|3||,||13|2|,0,1,9,4,150612,150782,4187,9803
8112,9,3,5,63,11,|21|3||,|123|||,1,1,12,5,161451,161621,5356,15491
8112,10,3,5,63,21,|21|3||,|132|||,0,1,12,5,177755,177927,4138,9490
8112,11,3,5,63,43,|21|3||,|32|1||,0,1,12,5,187636,187807,4387,15570
8112,12,3,5,63,45,|21|3||,|3|1|2|,0,1,12,5,204155,204326,14299,21132
8056,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,47218,47346,4537,7929
8056,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,58740,58797,5813,7669
8056,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,68324,68364,6631,11509
8056,4,3,3,63,54,|21|3||,|2|13||,0,1,9,3,81388,81445,11614,18795
8056,5,3,4,63,13,|21|3||,|12|3||,1,1,12,4,101963,102002,11794,16880
8056,6,3,4,63,44,|21|3||,|3|12||,1,1,15,4,119907,119963,5269,8973
8056,7,3,4,63,22,|21|3||,|13||2|,1,1,18,4,129995,130047,3937,7825
8056,8,3,4,63,46,|21|3||,||13|2|,0,1,18,4,139219,139259,3789,14895
8056,9,3,5,63,11,|21|3||,|123|||,0,1,18,5,155003,155044,7867,28494
8056,10,3,5,63,21,|21|3||,|132|||,1,1,21,5,184530,184586,7270,12549
8056,11,3,5,63,43,|21|3||,|32|1||,1,1,24,5,198505,198561,10702,16237
8056,12,3,5,63,45,|21|3||,|3|1|2|,0,1,24,5,215737,215793,9630,16134
8084,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,65655,65835,55707,65323
8084,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,132930,133101,9192,10954
8084,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,145033,145205,9337,13049
8084,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,159137,159311,9494,14206
8084,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,174817,174989,12122,19578
8084,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,195465,195637,17937,24218
8084,7,3,4,63,22,|21|3||,|13||2|,1,1,21,4,220705,220876,24714,30867
8084,8,3,4,63,46,|21|3||,||13|2|,1,1,24,4,252624,252797,7689,18537
8084,9,3,5,63,11,|21|3||,|123|||,0,1,24,5,272072,272245,11609,34074
8084,10,3,5,63,21,|21|3||,|132|||,0,1,24,5,307864,308042,19348,31732
8084,11,3,5,63,43,|21|3||,|32|1||,1,1,27,5,340600,340771,31571,39996
8084,12,3,5,63,45,|21|3||,|3|1|2|,0,1,27,5,381615,381788,8265,25642
8026,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,26822,26934,5178,7009
8026,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,35872,35927,2719,4241
8026,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,41816,41871,4217,9933
8026,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,52960,52998,4910,7190
8026,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,60896,60935,3905,7655
8026,6,3,4,63,44,|21|3||,|3|12||,0,1,15,4,69231,69287,4782,16210
8026,7,3,4,63,22,|21|3||,|13||2|,1,1,18,4,88031,88086,6039,10134
8026,8,3,4,63,46,|21|3||,||13|2|,1,1,21,4,98927,98983,7443,10611
8026,9,3,5,63,11,|21|3||,|123|||,1,1,24,5,110271,110312,4787,10740
8026,10,3,5,63,21,|21|3||,|132|||,0,1,24,5,121654,121711,3142,8078
8026,11,3,5,63,43,|21|3||,|32|1||,1,1,27,5,130999,131054,7163,11597
8026,12,3,5,63,45,|21|3||,|3|1|2|,0,1,27,5,143342,143383,4428,19460
8148,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,43913,44062,11371,13986
8148,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,60260,60315,5524,7774
8148,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,69483,69522,8503,12944
8148,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,84372,84428,6596,11331
8148,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,98923,98979,8182,15375
8148,6,3,4,63,44,|21|3||,|3|12||,0,1,15,4,117483,117541,171774,181178
8148,7,3,4,63,22,|21|3||,|13||2|,1,1,18,4,301104,301161,48182,54421
8148,8,3,4,63,46,|21|3||,||13|2|,1,1,21,4,356887,356944,51536,58032
8148,9,3,5,63,11,|21|3||,|123|||,1,1,24,5,416311,416367,40074,49365
8148,10,3,5,63,21,|21|3||,|132|||,0,1,24,5,466814,466855,68324,79605
8148,11,3,5,63,43,|21|3||,|32|1||,1,1,27,5,547366,547423,39524,49254
8148,12,3,5,63,45,|21|3||,|3|1|2|,1,1,30,5,598757,598814,44107,57899
8129,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,7070,7154,7276,10508
8129,2,3,2,63,55,|21|3||,|2|1|3|,0,1,0,2,21983,22039,8265,11103
8129,3,3,3,63,53,|21|3||,|23|1||,0,1,0,3,35279,35335,4873,10818
8129,4,3,3,63,54,|21|3||,|2|13||,0,1,0,3,47462,47520,7229,10732
8129,5,3,4,63,13,|21|3||,|12|3||,1,1,3,4,61719,61776,4561,12030
8129,6,3,4,63,44,|21|3||,|3|12||,1,1,6,4,75030,75086,5372,9060
8129,7,3,4,63,22,|21|3||,|13||2|,1,1,9,4,85070,85111,10787,16691
8129,8,3,4,63,46,|21|3||,||13|2|,0,1,9,4,102661,102717,2743,10914
8129,9,3,5,63,11,|21|3||,|123|||,1,1,12,5,114646,114702,5040,8884
8129,10,3,5,63,21,|21|3||,|132|||,0,1,12,5,124261,124318,4231,9806
8129,11,3,5,63,43,|21|3||,|32|1||,0,1,12,5,135005,135062,4414,21788
8129,12,3,5,63,45,|21|3||,|3|1|2|,0,1,12,5,157820,157877,5900,26678
8087,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,42753,42932,6741,9574
8087,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,53806,53979,8478,10583
8087,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,65677,65849,6681,9554
8087,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,77309,77480,3666,6474
8087,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,85021,85191,11019,14892
8087,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,101013,101184,6338,9755
8087,7,3,4,63,22,|21|3||,|13||2|,1,1,21,4,112020,112190,6644,9700
8087,8,3,4,63,46,|21|3||,||13|2|,0,1,21,4,122757,122927,4819,7930
8087,9,3,5,63,11,|21|3||,|123|||,1,1,24,5,138173,138344,16483,21588
8087,10,3,5,63,21,|21|3||,|132|||,1,1,27,5,160669,160842,8497,15250
8087,11,3,5,63,43,|21|3||,|32|1||,1,1,30,5,177069,177239,32875,39035
8087,12,3,5,63,45,|21|3||,|3|1|2|,1,1,33,5,217139,217309,22228,27590
8097,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,33222,33398,17826,24058
8097,2,3,2,63,55,|21|3||,|2|1|3|,1,1,3,2,63668,63839,14801,17616
8097,3,3,3,63,53,|21|3||,|23|1||,1,1,6,3,84092,84261,9953,14907
8097,4,3,3,63,54,|21|3||,|2|13||,0,1,6,3,100691,100862,7169,11433
8097,5,3,4,63,13,|21|3||,|12|3||,1,1,9,4,116995,117164,4188,15035
8097,6,3,4,63,44,|21|3||,|3|12||,0,1,9,4,134139,134311,5273,18866
8097,7,3,4,63,22,|21|3||,|13||2|,1,1,12,4,154779,154947,3573,13061
8097,8,3,4,63,46,|21|3||,||13|2|,0,1,12,4,169842,170012,2499,16724
8097,9,3,5,63,11,|21|3||,|123|||,1,1,15,5,187802,187972,12532,22110
8097,10,3,5,63,21,|21|3||,|132|||,1,1,18,5,211058,211228,7644,12692
8097,11,3,5,63,43,|21|3||,|32|1||,1,1,21,5,225274,225444,34725,45427
8097,12,3,5,63,45,|21|3||,|3|1|2|,0,1,21,5,272209,272384,7071,18239
8166,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,11125,11306,14583,16638
8166,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,29684,29858,3998,5752
8166,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,36757,36928,6074,8369
8166,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,46508,46679,5025,7394
8166,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,54925,55095,9226,12789
8166,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,68668,68839,19060,22955
8166,7,3,4,63,22,|21|3||,|13||2|,1,1,21,4,92596,92767,8146,13347
8166,8,3,4,63,46,|21|3||,||13|2|,1,1,24,4,107084,107255,84841,88457
8166,9,3,5,63,11,|21|3||,|123|||,1,1,27,5,196603,196774,29594,34634
8166,10,3,5,63,21,|21|3||,|132|||,1,1,30,5,232346,232523,8517,12110
8166,11,3,5,63,43,|21|3||,|32|1||,1,1,33,5,245450,245621,35850,41547
8166,12,3,5,63,45,|21|3||,|3|1|2|,1,1,36,5,288034,288206,23937,42321
8068,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,43637,43740,5017,6840
8068,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,52272,52312,6706,8764
8068,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,61927,61964,6801,10695
8068,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,73719,73759,4627,8292
8068,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,82943,82983,3445,8917
8068,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,92766,92821,8106,11872
8068,7,3,4,63,22,|21|3||,|13||2|,0,1,18,4,105663,105718,5656,23629
8068,8,3,4,63,46,|21|3||,||13|2|,1,1,21,4,132109,132150,16805,20380
8068,9,3,5,63,11,|21|3||,|123|||,1,1,24,5,153445,153487,9883,21300
8068,10,3,5,63,21,|21|3||,|132|||,0,1,24,5,175573,175630,11917,18932
8068,11,3,5,63,43,|21|3||,|32|1||,0,1,24,5,196027,196083,12929,27007
8068,12,3,5,63,45,|21|3||,|3|1|2|,0,1,24,5,223891,223947,5182,18526
8067,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,57418,57516,13110,15849
8067,2,3,2,63,55,|21|3||,|2|1|3|,1,1,3,2,75876,75930,2966,4481
8067,3,3,3,63,53,|21|3||,|23|1||,0,1,3,3,81668,81723,5058,11485
8067,4,3,3,63,54,|21|3||,|2|13||,1,1,6,3,94388,94443,3255,7478
8067,5,3,4,63,13,|21|3||,|12|3||,1,1,9,4,102996,103051,5412,10878
8067,6,3,4,63,44,|21|3||,|3|12||,1,1,12,4,114835,114891,10507,16357
8067,7,3,4,63,22,|21|3||,|13||2|,1,1,15,4,132923,132978,4542,8588
8067,8,3,4,63,46,|21|3||,||13|2|,0,1,15,4,142562,142617,5159,12008
8067,9,3,5,63,11,|21|3||,|123|||,1,1,18,5,155738,155794,4784,9517
8067,10,3,5,63,21,|21|3||,|132|||,1,1,21,5,166186,166243,5428,11195
8067,11,3,5,63,43,|21|3||,|32|1||,0,1,21,5,178329,178386,4304,22581
8067,12,3,5,63,45,|21|3||,|3|1|2|,0,1,21,5,201793,201849,4215,16608
8152,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,40921,41101,9804,11716
8152,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,55477,55645,4772,6165
8152,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,64045,64215,8034,10586
8152,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,76109,76278,6291,9515
8152,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,87212,87383,6242,12380
8152,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,101245,101417,5152,8785
8152,7,3,4,63,22,|21|3||,|13||2|,1,1,21,4,111148,111317,7829,11981
8152,8,3,4,63,46,|21|3||,||13|2|,1,1,24,4,124996,125165,9340,13629
8152,9,3,5,63,11,|21|3||,|123|||,1,1,27,5,140404,140575,11947,17100
8152,10,3,5,63,21,|21|3||,|132|||,1,1,30,5,158859,159031,5627,10708
8152,11,3,5,63,43,|21|3||,|32|1||,0,1,30,5,170828,170998,16076,45203
8152,12,3,5,63,45,|21|3||,|3|1|2|,0,1,30,5,219755,219925,10163,25972
8033,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,66581,66759,7717,9693
8033,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,82416,82588,2415,3688
8033,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,88888,89058,3466,7218
8033,4,3,3,63,54,|21|3||,|2|13||,0,1,9,3,99967,100137,3506,7611
8033,5,3,4,63,13,|21|3||,|12|3||,0,1,9,4,108455,108625,4293,10075
8033,6,3,4,63,44,|21|3||,|3|12||,0,1,9,4,124599,124771,14865,22961
8033,7,3,4,63,22,|21|3||,|13||2|,0,1,9,4,150159,150331,10265,15731
8033,8,3,4,63,46,|21|3||,||13|2|,0,1,9,4,167247,167418,17361,20251
8033,9,3,5,63,11,|21|3||,|123|||,1,1,12,5,192381,192551,64795,77837
8033,10,3,5,63,21,|21|3||,|132|||,1,1,15,5,272052,272226,6112,11112
8033,11,3,5,63,43,|21|3||,|32|1||,0,1,15,5,284460,284629,4677,25476
8033,12,3,5,63,45,|21|3||,|3|1|2|,1,1,18,5,311140,311313,37134,48472
8119,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,44161,44340,8752,10934
8119,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,58901,59074,2843,4026
8119,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,64168,64339,7342,10533
8119,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,75860,76031,5425,7424
8119,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,84328,84499,8497,12708
8119,6,3,4,63,44,|21|3||,|3|12||,0,1,15,4,97886,98056,6408,19319
8119,7,3,4,63,22,|21|3||,|13||2|,1,1,18,4,120003,120174,3472,10736
8119,8,3,4,63,46,|21|3||,||13|2|,1,1,21,4,131935,132106,5278,9159
8119,9,3,5,63,11,|21|3||,|123|||,1,1,24,5,141906,142075,5802,9748
8119,10,3,5,63,21,|21|3||,|132|||,0,1,24,5,152501,152674,3559,8583
8119,11,3,5,63,43,|21|3||,|32|1||,0,1,24,5,162313,162484,4546,11841
8119,12,3,5,63,45,|21|3||,|3|1|2|,0,1,24,5,175361,175531,5019,13271
8029,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,41164,41270,8990,11239
8029,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,54086,54141,4356,5533
8029,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,61015,61053,7820,11148
8029,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,73142,73182,2917,4740
8029,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,78574,78630,4115,9524
8029,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,103085,103135,4946,7147
8029,7,3,4,63,22,|21|3||,|13||2|,1,1,21,4,110813,110853,3284,5644
8029,8,3,4,63,46,|21|3||,||13|2|,1,1,24,4,116885,116941,3726,6631
8029,9,3,5,63,11,|21|3||,|123|||,1,1,27,5,124493,124548,4783,7989
8029,10,3,5,63,21,|21|3||,|132|||,1,1,30,5,133357,133399,5963,11075
8029,11,3,5,63,43,|21|3||,|32|1||,1,1,33,5,145244,145290,5063,9670
8029,12,3,5,63,45,|21|3||,|3|1|2|,0,1,33,5,155548,155591,6025,17641
8076,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,30932,31110,6854,8557
8076,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,42176,42349,3494,4584
8076,3,3,3,63,53,|21|3||,|23|1||,0,1,6,3,48056,48225,5378,13268
8076,4,3,3,63,54,|21|3||,|2|13||,1,1,9,3,62375,62544,10403,14131
8076,5,3,4,63,13,|21|3||,|12|3||,1,1,12,4,77631,77801,6308,10307
8076,6,3,4,63,44,|21|3||,|3|12||,0,1,12,4,89055,89226,8186,24258
8076,7,3,4,63,22,|21|3||,|13||2|,1,1,15,4,114566,114736,4484,7411
8076,8,3,4,63,46,|21|3||,||13|2|,0,1,15,4,122854,123023,7364,10116
8076,9,3,5,63,11,|21|3||,|123|||,1,1,18,5,133686,133856,5228,9532
8076,10,3,5,63,21,|21|3||,|132|||,1,1,21,5,143902,144076,2896,10586
8076,11,3,5,63,43,|21|3||,|32|1||,0,1,21,5,155773,155942,4102,15070
8076,12,3,5,63,45,|21|3||,|3|1|2|,0,1,21,5,171518,171689,4602,10427
8049,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,44492,44669,6878,18486
8049,2,3,2,63,55,|21|3||,|2|1|3|,0,1,0,2,65640,65808,3299,55563
8049,3,3,3,63,53,|21|3||,|23|1||,0,1,0,3,122918,123087,65388,75259
8049,4,3,3,63,54,|21|3||,|2|13||,1,1,3,3,202317,202486,26947,30435
8049,5,3,4,63,13,|21|3||,|12|3||,1,1,6,4,235804,235974,4572,31675
8049,6,3,4,63,44,|21|3||,|3|12||,1,1,9,4,268939,269109,8748,14475
8049,7,3,4,63,22,|21|3||,|13||2|,1,1,12,4,284427,284600,15184,19233
8049,8,3,4,63,46,|21|3||,||13|2|,0,1,12,4,305347,305517,5684,16242
8049,9,3,5,63,11,|21|3||,|123|||,1,1,15,5,322411,322582,18155,28643
8049,10,3,5,63,21,|21|3||,|132|||,1,1,18,5,352050,352220,10245,15813
8049,11,3,5,63,43,|21|3||,|32|1||,0,1,18,5,369769,369938,11366,26670
8049,12,3,5,63,45,|21|3||,|3|1|2|,1,1,21,5,397153,397324,49394,59283
50,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,1263297,1263474,6334,8447
50,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,1274909,1275077,4299,5963
50,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,1282836,1283006,10666,14354
50,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,1299492,1299663,4944,7537
50,5,3,4,63,13,|21|3||,|12|3||,0,1,12,4,1309580,1309748,12356,75092
50,6,3,4,63,44,|21|3||,|3|12||,0,1,12,4,1386025,1386195,11763,23076
50,7,3,4,63,22,|21|3||,|13||2|,1,1,15,4,1410281,1410451,5052,7868
50,8,3,4,63,46,|21|3||,||13|2|,0,1,15,4,1419441,1419611,7546,13916
50,9,3,5,63,11,|21|3||,|123|||,1,1,18,5,1434297,1434467,5076,9572
50,10,3,5,63,21,|21|3||,|132|||,0,1,18,5,1444968,1445141,6592,11257
50,11,3,5,63,43,|21|3||,|32|1||,0,1,18,5,1457136,1457306,10284,16428
50,12,3,5,63,45,|21|3||,|3|1|2|,0,1,18,5,1475039,1475209,7604,16764
8047,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,40756,40857,7593,12206
8047,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,55375,55430,7953,9703
8047,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,66623,66662,8527,11529
8047,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,79177,79217,5256,7950
8047,5,3,4,63,13,|21|3||,|12|3||,0,1,12,4,89800,89841,3841,16913
8047,6,3,4,63,44,|21|3||,|3|12||,1,1,15,4,108847,108903,11436,16302
8047,7,3,4,63,22,|21|3||,|13||2|,1,1,18,4,127075,127130,8112,13311
8047,8,3,4,63,46,|21|3||,||13|2|,0,1,18,4,141598,141654,10487,21290
8047,9,3,5,63,11,|21|3||,|123|||,1,1,21,5,165143,165199,25061,33953
8047,10,3,5,63,21,|21|3||,|132|||,0,1,21,5,200369,200426,6530,20516
8047,11,3,5,63,43,|21|3||,|32|1||,1,1,24,5,221800,221856,31243,37178
8047,12,3,5,63,45,|21|3||,|3|1|2|,1,1,27,5,260017,260073,30311,35714
8169,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,36616,36714,7149,10944
8169,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,49793,49851,4771,6490
8169,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,57392,57434,5418,7651
8169,4,3,3,63,54,|21|3||,|2|13||,1,1,12,3,66113,66154,4539,7153
8169,5,3,4,63,13,|21|3||,|12|3||,1,1,15,4,74712,74753,17085,21155
8169,6,3,4,63,44,|21|3||,|3|12||,1,1,18,4,97312,97368,10349,14077
8169,7,3,4,63,22,|21|3||,|13||2|,1,1,21,4,113560,113616,4299,8141
8169,8,3,4,63,46,|21|3||,||13|2|,0,1,21,4,123712,123768,3486,9710
8169,9,3,5,63,11,|21|3||,|123|||,1,1,24,5,135376,135433,6332,11348
8169,10,3,5,63,21,|21|3||,|132|||,1,1,27,5,147711,147768,5973,11205
8169,11,3,5,63,43,|21|3||,|32|1||,1,1,30,5,159520,159577,7523,12436
8169,12,3,5,63,45,|21|3||,|3|1|2|,0,1,30,5,172911,172953,3620,9163
8092,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,36638,36746,7410,13475
8092,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,52032,52069,5262,6960
8092,3,3,3,63,53,|21|3||,|23|1||,1,1,9,3,60040,60082,6171,9458
8092,4,3,3,63,54,|21|3||,|2|13||,0,1,9,3,70240,70281,3669,11709
8092,5,3,4,63,13,|21|3||,|12|3||,1,1,12,4,83151,83207,14737,20862
8092,6,3,4,63,44,|21|3||,|3|12||,1,1,15,4,104799,104858,4606,8524
8092,7,3,4,63,22,|21|3||,|13||2|,1,1,18,4,114031,114088,3772,6707
8092,8,3,4,63,46,|21|3||,||13|2|,0,1,18,4,121415,121457,5628,11091
8092,9,3,5,63,11,|21|3||,|123|||,1,1,21,5,133831,133887,14326,18853
8092,10,3,5,63,21,|21|3||,|132|||,1,1,24,5,153279,153322,9052,13579
8092,11,3,5,63,43,|21|3||,|32|1||,1,1,27,5,167446,167503,12100,16364
8092,12,3,5,63,45,|21|3||,|3|1|2|,0,1,27,5,184390,184432,6957,16554
8114,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,64022,64203,6426,8171
8114,2,3,2,63,55,|21|3||,|2|1|3|,0,1,3,2,75809,75984,3821,8086
8114,3,3,3,63,53,|21|3||,|23|1||,1,1,6,3,87912,88081,7980,10396
8114,4,3,3,63,54,|21|3||,|2|13||,1,1,9,3,101673,101842,4618,6689
8114,5,3,4,63,13,|21|3||,|12|3||,1,1,12,4,109464,109634,12331,28410
8114,6,3,4,63,44,|21|3||,|3|12||,0,1,12,4,140063,140235,7857,16513
8114,7,3,4,63,22,|21|3||,|13||2|,1,1,15,4,157598,157768,6035,9140
8114,8,3,4,63,46,|21|3||,||13|2|,0,1,15,4,167918,168087,4684,9436
8114,9,3,5,63,11,|21|3||,|123|||,0,1,15,5,178645,178815,10565,18748
8114,10,3,5,63,21,|21|3||,|132|||,0,1,15,5,197852,198022,10076,17395
8114,11,3,5,63,43,|21|3||,|32|1||,0,1,15,5,216243,216418,18839,28766
8114,12,3,5,63,45,|21|3||,|3|1|2|,0,1,15,5,245459,245632,11129,29799
8025,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,49788,49966,10079,16654
8025,2,3,2,63,55,|21|3||,|2|1|3|,0,1,0,2,69648,69820,2944,9265
8025,3,3,3,63,53,|21|3||,|23|1||,0,1,0,3,80762,80930,5130,12984
8025,4,3,3,63,54,|21|3||,|2|13||,0,1,0,3,95624,95793,15644,24963
8025,5,3,4,63,13,|21|3||,|12|3||,1,1,3,4,121767,121936,3109,12117
8025,6,3,4,63,44,|21|3||,|3|12||,1,1,6,4,134918,135089,10091,15652
8025,7,3,4,63,22,|21|3||,|13||2|,0,1,6,4,151550,151719,6701,13149
8025,8,3,4,63,46,|21|3||,||13|2|,1,1,9,4,165751,165923,8104,12296
8025,9,3,5,63,11,|21|3||,|123|||,1,1,12,5,178910,179080,6085,11846
8025,10,3,5,63,21,|21|3||,|132|||,1,1,15,5,191917,192092,3616,11190
8025,11,3,5,63,43,|21|3||,|32|1||,0,1,15,5,204118,204288,8907,19259
8025,12,3,5,63,45,|21|3||,|3|1|2|,0,1,15,5,224485,224658,1737,15074
8113,1,3,2,63,66,|21|3||,||32|1|,0,1,0,2,36450,36629,18248,26351
8113,2,3,2,63,55,|21|3||,|2|1|3|,1,1,3,2,69624,69792,5716,7302
8113,3,3,3,63,53,|21|3||,|23|1||,1,1,6,3,79057,79226,9395,13091
8113,4,3,3,63,54,|21|3||,|2|13||,1,1,9,3,93200,93371,4960,9065
8113,5,3,4,63,13,|21|3||,|12|3||,1,1,12,4,103168,103338,4651,12061
8113,6,3,4,63,44,|21|3||,|3|12||,0,1,12,4,116983,117154,4419,9931
8113,7,3,4,63,22,|21|3||,|13||2|,1,1,15,4,129120,129290,3603,6307
8113,8,3,4,63,46,|21|3||,||13|2|,0,1,15,4,136807,136977,2085,7437
8113,9,3,5,63,11,|21|3||,|123|||,1,1,18,5,145168,145338,5691,9716
8113,10,3,5,63,21,|21|3||,|132|||,0,1,18,5,158871,159044,4753,11329
8113,11,3,5,63,43,|21|3||,|32|1||,0,1,18,5,171087,171258,9218,22323
8113,12,3,5,63,45,|21|3||,|3|1|2|,0,1,18,5,194591,194762,3139,10451
8063,1,3,2,63,66,|21|3||,||32|1|,1,1,3,2,23992,24171,5424,6604
8063,2,3,2,63,55,|21|3||,|2|1|3|,1,1,6,2,32251,32422,2889,3971
8063,3,3,3,63,53,|21|3||,|23|1||,0,1,6,3,37651,37824,5065,9640
8063,4,3,3,63,54,|21|3||,|2|13||,1,1,9,3,49043,49213,3218,4947
8063,5,3,4,63,13,|21|3||,|12|3||,1,1,12,4,55275,55445,6443,9467
8063,6,3,4,63,44,|21|3||,|3|12||,1,1,15,4,65802,65976,3296,11217
8063,7,3,4,63,22,|21|3||,|13||2|,0,1,15,4,78147,78318,27017,29762
8063,8,3,4,63,46,|21|3||,||13|2|,0,1,15,4,109010,109181,2803,7570
